snid,Discovery Mag,Redshift,Filter ,Following?,TNS class,Got Template?,CCD,RA,DEC,Comment,Classification Comment,Host Redshift,Days since first obs,Days since Discovery,Discovery Source,Mat Comment,YSE Field,MWEBV,Galaxy Type,Galaxy Host Name,discovery date,first obs date,Class Group,Comment,set date,estimated peak,Days since Peak,link
CS1,,,,FINISHED,spec ia,NO,,48.3,-20.44,,,,,,,,,,,,,,,,,,,
CS2,,,,FINISHED,spec ia,NO,,48.3,-22.64,,,,,,,,,,,,,,,,,,,
CS3,,,,FINISHED,spec ia,NO,,48.3,-18.24,,,,,,,,,,,,,,,,,,,
CS4,,,,FINISHED,spec ia,NO,,50.5,-20.44,,,,,,,,,,,,,,,,,,,
CS5,,,,FINISHED,spec ia,NO,,46.1,-20.44,,,,,,,,,,,,,,,,,,,
Shapley_Skymapper,,,,YES,spec ia,NO,,203,-31.5,,,,,,,,,,,,,,,,,,,
2021dha,19.623,0.080206,g-ZTF,FINISHED,spec ia,NO,9,172.9102667,14.0762639,,,0.080131,99,685,ZTF,,523.D.a,,Spiral?,SDSS J113137.85+140438.4,2021-02-17 9:54:05,2021-02-19,UCSC,,,,,
2021dev,19.4876,0.054224,g-ZTF,FINISHED,spec ia ,NO,11,162.6006244,0.9269222,,,0.054224,99,685,ZTF,,418.F.a  ,,Elliptical,WISEA J105024.42+005538.7,2021-02-17 7:37:31,2021-02-19,ZTF,,,,,
2021ckc,20.5197,0.053072,g-ZTF,FINISHED,spec ia,NO,6? pointing issue,178.6487242,25.3834417,,,0.053072,99,695,ZTF,,575.B.a,,Elliptical,2MASX J11543586+2522554,2021-02-07 11:45:39,2021-02-19,ZTF,,,,,
2021cym,19.34,0.04,,LOST,spec ia,NO,16,124.5537832,10.8902444,,,-,,691,ZTF,,1511.B.a,,Elliptical,-,2021-02-11 5:05:17,?,ZTF,,,,,
2021clw,16.7,0.0234,g-Sloan,FINISHED,spec ia,YES,21,87.83308,-50.5825389,,,0.023389,99,692,ASAS-SN,,?,,Spiral,NGC 2115,2021-02-10 3:50:24,2021-02-19,ePESSTO+,,,,,
