target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration
C2021_K3_2022S-01,2022-11-12 08:12:00.005,2022-11-12 08:39:40.005,27.67,17h26m22.21s,-43d25m12.8s,{'filter': 'R'}
TransitionBlock,2022-11-12 08:39:40.005,2022-11-12 08:41:40.005,2.0,,,[]
C2020_T2_2022S-01,2022-11-12 08:41:40.005,2022-11-12 09:09:20.005,27.67,22h34m23.8s,-39d06m40.8s,{'filter': 'R'}
TransitionBlock,2022-11-12 09:09:20.005,2022-11-12 09:11:20.005,2.0,,,[]
2060_2022S-01,2022-11-12 09:19:00.007,2022-11-12 09:47:40.007,28.67,0h42m28.72s,+6d37m36s,{'filter': 'R'}
TransitionBlock,2022-11-12 09:47:40.007,2022-11-12 09:48:00.007,0.33,,,[]
22P_2022S-01,2022-11-12 09:48:20.008,2022-11-12 10:15:00.008,26.67,0h48m15.32s,-2d17m17.8s,{'filter': 'R'}
TransitionBlock,2022-11-12 10:15:00.008,2022-11-12 10:16:00.008,1.0,,,[]
C2019_F1_2022S-01,2022-11-12 10:27:20.010,2022-11-12 10:54:20.010,27.0,1h27m43.71s,-25d00m40.4s,{'filter': 'R'}
TransitionBlock,2022-11-12 10:54:20.010,2022-11-12 10:55:40.010,1.33,,,[]
P2021_R1_2022S-01,2022-11-12 11:12:40.011,2022-11-12 11:40:20.011,27.67,2h21m46.85s,+7d10m56.5s,{'filter': 'R'}
TransitionBlock,2022-11-12 11:40:20.011,2022-11-12 11:42:40.011,2.33,,,[]
C2014_UN271_2022S-01,2022-11-12 11:43:00.013,2022-11-12 12:09:20.013,26.33,2h43m36.76s,-61d25m44.3s,{'filter': 'R'}
TransitionBlock,2022-11-12 12:09:20.013,2022-11-12 12:10:00.013,0.67,,,[]
C2022_R6_2022S-01,2022-11-12 12:26:00.014,2022-11-12 12:54:00.014,28.0,3h27m56.22s,-43d00m51.5s,{'filter': 'R'}
TransitionBlock,2022-11-12 12:54:00.014,2022-11-12 12:55:40.014,1.67,,,[]
7P_2022S-01,2022-11-12 12:56:00.015,2022-11-12 13:23:40.015,27.67,3h56m52.86s,+1d52m24.2s,{'filter': 'R'}
TransitionBlock,2022-11-12 13:23:40.015,2022-11-12 13:24:40.015,1.0,,,[]
2022_QE78_2022S-01,2022-11-12 13:24:40.015,2022-11-12 13:51:20.015,26.67,3h36m18.43s,-21d30m36.6s,{'filter': 'R'}
TransitionBlock,2022-11-12 13:51:20.015,2022-11-12 13:54:00.015,2.67,,,[]
C2022_F1_2022S-01,2022-11-12 13:54:00.015,2022-11-12 14:21:00.015,27.0,19h22m04.48s,-72d35m22s,{'filter': 'R'}
TransitionBlock,2022-11-12 14:21:00.015,2022-11-12 14:22:20.015,1.33,,,[]
C2019_E3_2022S-01,2022-11-12 14:42:00.019,2022-11-12 15:09:20.019,27.33,8h08m47.74s,-72d39m08s,{'filter': 'R'}
TransitionBlock,2022-11-12 15:09:20.019,2022-11-12 15:11:20.019,2.0,,,[]
C2019_L3_2022S-01,2022-11-12 15:11:40.020,2022-11-12 15:37:20.020,25.67,9h56m08.77s,-20d36m57s,{'filter': 'R'}
TransitionBlock,2022-11-12 15:37:20.020,2022-11-12 15:39:00.020,1.67,,,[]
C2021_C5_2022S-01,2022-11-12 15:39:20.021,2022-11-12 16:05:20.021,26.0,12h45m59.98s,-45d52m32.1s,{'filter': 'R'}
TransitionBlock,2022-11-12 16:05:20.021,2022-11-12 16:06:20.021,1.0,,,[]
C2021_E3_2022S-01,2022-11-12 16:06:40.022,2022-11-12 16:32:20.022,25.67,10h01m52.34s,-42d19m35.2s,{'filter': 'R'}
