target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats,block
73P-JD001_22S01,2022-12-02 08:40:00.006,2022-12-02 08:47:20.006,7.33,21h18m40.97s,-26d27m38.9s,{'filter': 'R'},30,4,1
TransitionBlock,2022-12-02 08:47:20.006,2022-12-02 08:48:00.006,0.67,,,[],,,1
73P-BU_22S01,2022-12-02 08:48:00.006,2022-12-02 08:51:20.006,3.33,22h04m43.57s,-23d17m18.6s,{'filter': 'R'},120,1,1
TransitionBlock,2022-12-02 08:51:20.006,2022-12-02 08:53:00.006,1.67,,,[],,,1
2022jzx_22S05,2022-12-02 08:53:40.006,2022-12-02 09:00:00.006,6.33,1h02m09.856992s,-4d14m06.54s,{'filter': 'R'},300,1,1
TransitionBlock,2022-12-02 09:00:00.006,2022-12-02 09:01:40.006,1.67,,,[],,,1
73P-BV_22S01,2022-12-02 09:01:40.006,2022-12-02 09:05:00.006,3.33,21h56m17.75s,-23d59m20.5s,{'filter': 'R'},120,1,1
TransitionBlock,2022-12-02 09:05:00.006,2022-12-02 09:09:20.006,4.33,,,['filter:R to V'],,,1
2022xhd _22S02,2022-12-02 09:09:20.006,2022-12-02 09:13:40.006,4.33,0h14m38.14666667s,-17d39m51.56s,{'filter': 'V'},180,1,1
TransitionBlock,2022-12-02 09:13:40.006,2022-12-02 09:14:00.006,0.33,,,[],,,1
2022ucj_22S02,2022-12-02 09:14:00.006,2022-12-02 09:18:20.006,4.33,0h18m03.41s,-16d18m21.9s,{'filter': 'V'},180,1,1
TransitionBlock,2022-12-02 09:18:20.006,2022-12-02 09:18:40.006,0.33,,,[],,,1
2022udc_22S02,2022-12-02 09:18:40.006,2022-12-02 09:23:00.006,4.33,0h17m35.41133333s,-10d18m30.38s,{'filter': 'V'},180,1,1
TransitionBlock,2022-12-02 09:23:00.006,2022-12-02 09:24:00.006,1.0,,,[],,,1
2022vye_22S02,2022-12-02 09:27:40.008,2022-12-02 09:32:00.008,4.33,1h35m13.20466667s,+2d20m28.25s,{'filter': 'V'},180,1,1
TransitionBlock,2022-12-02 09:32:00.008,2022-12-02 09:33:00.008,1.0,,,[],,,1
2022ssk_22S02,2022-12-02 09:33:00.008,2022-12-02 09:37:20.008,4.33,0h09m57.90333333s,-5d50m54.29s,{'filter': 'V'},180,1,1
TransitionBlock,2022-12-02 09:37:20.008,2022-12-02 09:41:00.008,3.67,,,['filter:V to R'],,,1
395P_22S01,2022-12-02 09:41:00.008,2022-12-02 09:44:20.008,3.33,23h03m38.8s,-3d23m23.9s,{'filter': 'R'},120,1,1
TransitionBlock,2022-12-02 09:44:20.008,2022-12-02 09:49:40.008,5.33,,,['filter:R to V'],,,2
2022ydv_22S02,2022-12-02 09:49:40.008,2022-12-02 09:54:00.008,4.33,1h18m55.45466667s,-60d39m14.26s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-02 09:54:00.008,2022-12-02 09:55:20.008,1.33,,,[],,,2
2022tiv_22S02,2022-12-02 09:55:20.008,2022-12-02 09:59:40.008,4.33,1h25m35.83s,-22d44m07.39s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-02 09:59:40.008,2022-12-02 10:01:20.008,1.67,,,[],,,2
2022wsq_22S02,2022-12-02 10:01:20.008,2022-12-02 10:05:40.008,4.33,0h05m19.97s,+15d36m09.83s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-02 10:05:40.008,2022-12-02 10:06:40.008,1.0,,,[],,,2
2022wbc_22S02,2022-12-02 10:06:40.008,2022-12-02 10:11:00.008,4.33,1h28m31.91933333s,+7d08m07.43s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-02 10:11:00.008,2022-12-02 10:12:00.008,1.0,,,[],,,2
2022ywf_22S02,2022-12-02 10:12:00.008,2022-12-02 10:16:20.008,4.33,0h05m28.81333333s,+0d57m23.59s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-02 10:16:20.008,2022-12-02 10:18:20.008,2.0,,,[],,,2
2021aefx_22S02,2022-12-02 10:18:20.008,2022-12-02 10:22:40.008,4.33,0h17m19.56s,-54d56m53.09s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-02 10:22:40.008,2022-12-02 10:24:40.008,2.0,,,[],,,2
2022ihz_22S02,2022-12-02 10:24:40.008,2022-12-02 10:29:00.008,4.33,0h38m51.21533333s,-3d36m25.46s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-02 10:29:00.008,2022-12-02 10:29:20.008,0.33,,,[],,,2
2022aaaw_22S02,2022-12-02 10:29:20.008,2022-12-02 10:33:40.008,4.33,0h04m24.71s,+1d21m42.9s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-02 10:33:40.008,2022-12-02 10:34:00.008,0.33,,,[],,,2
2022zxj_22S02,2022-12-02 10:34:00.008,2022-12-02 10:38:20.008,4.33,0h00m03.43866667s,-2d18m02.81s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-02 10:38:20.008,2022-12-02 10:39:00.008,0.67,,,[],,,2
2022zut_22S02,2022-12-02 10:39:00.008,2022-12-02 10:43:20.008,4.33,0h46m43.92133333s,+11d28m10.9s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-02 10:43:20.008,2022-12-02 10:44:00.008,0.67,,,[],,,2
2022yxp_22S02,2022-12-02 10:44:00.008,2022-12-02 10:48:20.008,4.33,0h19m44.37466667s,+1d49m06.9s,{'filter': 'V'},180,1,2
TransitionBlock,2022-12-02 10:48:20.008,2022-12-02 10:53:40.008,5.33,,,['filter:V to R'],,,3
C2022_R6_22S01,2022-12-02 10:58:00.011,2022-12-02 11:01:20.011,3.33,3h20m47.19s,-43d04m05.8s,{'filter': 'R'},120,1,3
TransitionBlock,2022-12-02 11:01:20.011,2022-12-02 11:02:20.011,1.0,,,[],,,3
2022_QE78_22S01,2022-12-02 11:02:40.011,2022-12-02 11:44:40.011,42.0,3h29m38.04s,-21d28m36.6s,{'filter': 'R'},60,18,3
TransitionBlock,2022-12-02 11:44:40.011,2022-12-02 11:49:00.011,4.33,,,['filter:R to V'],,,3
2022ydu_22S02,2022-12-02 11:49:00.011,2022-12-02 11:53:20.011,4.33,0h43m09.39133333s,-24d27m04.27s,{'filter': 'V'},180,1,3
TransitionBlock,2022-12-02 11:53:20.011,2022-12-02 11:58:40.011,5.33,,,['filter:V to R'],,,4
C2022_F1_22S01,2022-12-02 11:58:40.011,2022-12-02 12:35:20.011,36.67,20h02m44.19s,-69d30m05.6s,{'filter': 'R'},120,11,4
TransitionBlock,2022-12-02 12:35:20.011,2022-12-02 12:37:40.011,2.33,,,[],,,4
C2019_F1_22S01,2022-12-02 12:37:40.011,2022-12-02 13:23:40.011,46.0,1h18m26.73s,-22d51m05.9s,{'filter': 'R'},30,25,5
TransitionBlock,2022-12-02 13:23:40.011,2022-12-02 13:25:40.011,2.0,,,[],,,5
C2021_Y1_22S01,2022-12-02 13:25:40.011,2022-12-02 13:34:00.011,8.33,4h16m34.84s,+10d46m44.3s,{'filter': 'R'},20,5,5
TransitionBlock,2022-12-02 13:34:00.011,2022-12-02 13:36:40.011,2.67,,,[],,,5
C2014_UN271_22S01,2022-12-02 13:36:40.011,2022-12-02 13:43:40.011,7.0,2h36m33.29s,-61d24m58.1s,{'filter': 'R'},60,3,5
TransitionBlock,2022-12-02 13:43:40.011,2022-12-02 13:46:00.011,2.33,,,[],,,6
2022yxp_22S05,2022-12-02 13:46:00.011,2022-12-02 13:52:20.011,6.33,4h56m05.623992s,+1d49m06.89988s,{'filter': 'R'},300,1,6
TransitionBlock,2022-12-02 13:52:20.011,2022-12-02 13:55:20.011,3.0,,,[],,,6
C2019_E3_22S01,2022-12-02 13:57:20.017,2022-12-02 14:39:20.017,42.0,7h45m54.85s,-74d45m55.8s,{'filter': 'R'},60,18,6
TransitionBlock,2022-12-02 14:39:20.017,2022-12-02 14:41:20.017,2.0,,,[],,,6
C2022_E2_22S01,2022-12-02 14:41:40.019,2022-12-02 15:27:40.019,46.0,10h33m23.41s,-19d50m54.8s,{'filter': 'R'},30,25,7
TransitionBlock,2022-12-02 15:27:40.019,2022-12-02 15:28:40.019,1.0,,,[],,,7
157P_22S01,2022-12-02 15:29:00.021,2022-12-02 16:15:00.021,46.0,10h51m13.12s,+1d19m56.5s,{'filter': 'R'},30,25,7
