target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,exptime (s),repeats
C2019_F1_22S01,2023-01-15 08:55:20.006,2023-01-15 09:37:20.006,42.0,1h15m26.66s,-16d55m29.7s,{'filter': 'R'},60,18
TransitionBlock,2023-01-15 09:37:20.006,2023-01-15 09:38:00.006,0.67,,,[],,
22P_22S01,2023-01-15 09:38:00.006,2023-01-15 09:41:20.006,3.33,1h10m47.5s,+2d20m41.3s,{'filter': 'R'},120,1
TransitionBlock,2023-01-15 09:41:20.006,2023-01-15 09:43:40.006,2.33,,,[],,
C2014_UN271_22S01,2023-01-15 09:43:40.006,2023-01-15 09:50:40.006,7.0,2h27m44.92s,-60d16m00.8s,{'filter': 'R'},60,3
TransitionBlock,2023-01-15 09:50:40.006,2023-01-15 09:52:00.006,1.33,,,[],,
C2022_F1_22S01,2023-01-15 09:52:00.006,2023-01-15 09:55:20.006,3.33,21h18m50.29s,-62d59m12s,{'filter': 'R'},120,1
TransitionBlock,2023-01-15 09:55:20.006,2023-01-15 09:57:20.006,2.0,,,[],,
C2022_R6_22S01,2023-01-15 09:57:20.006,2023-01-15 10:00:40.006,3.33,3h11m47.11s,-40d52m46.9s,{'filter': 'R'},120,1
TransitionBlock,2023-01-15 10:00:40.006,2023-01-15 10:01:40.006,1.0,,,[],,
C2021_S3_22S01,2023-01-15 10:02:20.009,2023-01-15 10:52:20.009,50.0,5h31m23.16s,-38d22m37s,{'filter': 'R'},20,30
TransitionBlock,2023-01-15 10:52:20.009,2023-01-15 10:53:40.009,1.33,,,[],,
C2019_E3_22S01,2023-01-15 10:54:00.011,2023-01-15 11:36:00.011,42.0,6h16m18.16s,-76d30m12.1s,{'filter': 'R'},60,18
TransitionBlock,2023-01-15 11:36:00.011,2023-01-15 11:37:40.011,1.67,,,[],,
C2021_G2_22S01,2023-01-15 11:43:20.013,2023-01-15 12:33:20.013,50.0,9h07m34.79s,-39d12m08.6s,{'filter': 'R'},20,30
TransitionBlock,2023-01-15 12:33:20.013,2023-01-15 12:34:00.013,0.67,,,[],,
C2021_E3_22S01,2023-01-15 12:34:20.014,2023-01-15 13:24:20.014,50.0,8h00m28.15s,-39d23m46.5s,{'filter': 'R'},20,30
TransitionBlock,2023-01-15 13:24:20.014,2023-01-15 13:26:20.014,2.0,,,[],,
C2021_A9_22S01,2023-01-15 13:26:40.016,2023-01-15 13:30:00.016,3.33,8h27m50.62s,+14d12m53s,{'filter': 'R'},120,1
TransitionBlock,2023-01-15 13:30:00.016,2023-01-15 13:33:40.016,3.67,,,[],,
C2021_C5_22S01,2023-01-15 13:35:20.017,2023-01-15 14:21:20.017,46.0,15h11m54.51s,-64d06m30.5s,{'filter': 'R'},30,25
TransitionBlock,2023-01-15 14:21:20.017,2023-01-15 14:23:20.017,2.0,,,[],,
C2019_L3_22S01,2023-01-15 14:23:40.018,2023-01-15 15:13:40.018,50.0,9h48m33.67s,-32d47m12.1s,{'filter': 'R'},20,30
TransitionBlock,2023-01-15 15:13:40.018,2023-01-15 15:15:00.018,1.33,,,[],,
97P_22S01,2023-01-15 15:15:00.018,2023-01-15 15:18:20.018,3.33,9h10m48.35s,-3d35m56.1s,{'filter': 'R'},120,1
TransitionBlock,2023-01-15 15:18:20.018,2023-01-15 15:19:00.018,0.67,,,[],,
C2022_A3_22S01,2023-01-15 15:19:00.018,2023-01-15 15:26:20.018,7.33,10h06m55.22s,-1d19m43.2s,{'filter': 'R'},30,4
TransitionBlock,2023-01-15 15:26:20.018,2023-01-15 15:27:00.018,0.67,,,[],,
2022aduk_22S05,2023-01-15 15:31:40.021,2023-01-15 15:38:00.021,6.33,10h38m46.542s,-17d33m42.81984s,{'filter': 'R'},300,1
TransitionBlock,2023-01-15 15:38:00.021,2023-01-15 15:40:20.021,2.33,,,[],,
81P_22S01,2023-01-15 15:40:40.021,2023-01-15 15:49:00.021,8.33,15h10m29.24s,-15d05m13.4s,{'filter': 'R'},20,5
TransitionBlock,2023-01-15 15:49:00.021,2023-01-15 15:50:00.021,1.0,,,[],,
A2019_U5_22S01,2023-01-15 15:50:20.022,2023-01-15 16:32:20.022,42.0,13h46m49.47s,+2d28m43.1s,{'filter': 'R'},60,18
TransitionBlock,2023-01-15 16:32:20.022,2023-01-15 16:33:40.022,1.33,,,[],,
Shapley_Skymapper_22S05,2023-01-15 16:34:00.023,2023-01-15 16:40:20.023,6.33,13h32m00s,-31d30m00s,{'filter': 'R'},300,1
