target,start time (UTC),start time (local),end time (UTC),end time (local),duration (minutes),ra,dec,configuration,exptime (s),repeats
2023_RN3_22S01,2025-01-26 08:45:00.006,2025-01-26 21:45:00.006000,2025-01-26 08:47:00.006,2025-01-26 21:47:00.006000,1.999999999999993,2h08m27.38s,+10d03m30.5s,"{'filter': 'g', 'magnitude': 19, 'rate (""/min)': 0.19}",120,1
TransitionBlock,2025-01-26 08:47:00.006,2025-01-26 21:47:00.006000,2025-01-26 08:47:20.006,2025-01-26 21:47:20.006000,0.3333333333333588,,,['filter:g to r'],,
2023_RN3_22S01,2025-01-26 08:47:20.006,2025-01-26 21:47:20.006000,2025-01-26 08:49:20.006,2025-01-26 21:49:20.006000,1.999999999999993,2h08m27.38s,+10d03m30.5s,"{'filter': 'r', 'magnitude': 19, 'rate (""/min)': 0.19}",120,1
TransitionBlock,2025-01-26 08:49:20.006,2025-01-26 21:49:20.006000,2025-01-26 08:49:40.006,2025-01-26 21:49:40.006000,0.33333333333327886,,,['filter:r to i'],,
2023_RN3_22S01,2025-01-26 08:49:40.006,2025-01-26 21:49:40.006000,2025-01-26 08:51:40.006,2025-01-26 21:51:40.006000,1.999999999999993,2h08m27.38s,+10d03m30.5s,"{'filter': 'i', 'magnitude': 19, 'rate (""/min)': 0.19}",120,1
TransitionBlock,2025-01-26 08:51:40.006,2025-01-26 21:51:40.006000,2025-01-26 08:52:00.006,2025-01-26 21:52:00.006000,0.33333333333327886,,,['filter:i to g'],,
C2022_JK5_22S01,2025-01-26 08:52:00.006,2025-01-26 21:52:00.006000,2025-01-26 08:54:00.006,2025-01-26 21:54:00.006000,1.999999999999993,2h32m13.4s,+11d17m38.2s,"{'filter': 'g', 'magnitude': 19, 'rate (""/min)': 0.15}",120,1
TransitionBlock,2025-01-26 08:54:00.006,2025-01-26 21:54:00.006000,2025-01-26 08:54:20.006,2025-01-26 21:54:20.006000,0.33333333333327886,,,['filter:g to r'],,
C2022_JK5_22S01,2025-01-26 08:54:20.006,2025-01-26 21:54:20.006000,2025-01-26 08:56:20.006,2025-01-26 21:56:20.006000,1.999999999999993,2h32m13.4s,+11d17m38.2s,"{'filter': 'r', 'magnitude': 19, 'rate (""/min)': 0.15}",120,1
TransitionBlock,2025-01-26 08:56:20.006,2025-01-26 21:56:20.006000,2025-01-26 08:56:40.006,2025-01-26 21:56:40.006000,0.33333333333327886,,,['filter:r to i'],,
C2022_JK5_22S01,2025-01-26 08:56:40.006,2025-01-26 21:56:40.006000,2025-01-26 08:58:40.006,2025-01-26 21:58:40.006000,1.999999999999993,2h32m13.4s,+11d17m38.2s,"{'filter': 'i', 'magnitude': 19, 'rate (""/min)': 0.15}",120,1
TransitionBlock,2025-01-26 08:58:40.006,2025-01-26 21:58:40.006000,2025-01-26 09:01:20.006,2025-01-26 22:01:20.006000,2.6666666666667105,,,['filter:i to g'],,
C2022_E3_22S01,2025-01-26 09:01:20.006,2025-01-26 22:01:20.006000,2025-01-26 09:03:20.006,2025-01-26 22:03:20.006000,1.999999999999993,2h02m58.97s,-59d06m17.2s,"{'filter': 'g', 'magnitude': 19, 'rate (""/min)': 0.28}",120,1
TransitionBlock,2025-01-26 09:03:20.006,2025-01-26 22:03:20.006000,2025-01-26 09:03:40.006,2025-01-26 22:03:40.006000,0.3333333333333588,,,['filter:g to r'],,
C2022_E3_22S01,2025-01-26 09:03:40.006,2025-01-26 22:03:40.006000,2025-01-26 09:05:40.006,2025-01-26 22:05:40.006000,1.999999999999993,2h02m58.97s,-59d06m17.2s,"{'filter': 'r', 'magnitude': 19, 'rate (""/min)': 0.28}",120,1
TransitionBlock,2025-01-26 09:05:40.006,2025-01-26 22:05:40.006000,2025-01-26 09:06:00.006,2025-01-26 22:06:00.006000,0.3333333333333588,,,['filter:r to i'],,
C2022_E3_22S01,2025-01-26 09:06:00.006,2025-01-26 22:06:00.006000,2025-01-26 09:08:00.006,2025-01-26 22:08:00.006000,1.999999999999993,2h02m58.97s,-59d06m17.2s,"{'filter': 'i', 'magnitude': 19, 'rate (""/min)': 0.28}",120,1
TransitionBlock,2025-01-26 09:08:00.006,2025-01-26 22:08:00.006000,2025-01-26 09:09:00.006,2025-01-26 22:09:00.006000,0.9999999999999964,,,['filter:i to g'],,
C2022_A3_22S01,2025-01-26 09:09:00.006,2025-01-26 22:09:00.006000,2025-01-26 09:11:00.006,2025-01-26 22:11:00.006000,1.999999999999993,23h09m38.73s,-58d09m03.3s,"{'filter': 'g', 'magnitude': 19, 'rate (""/min)': 0.49}",120,1
